FILM,IMDB,IMDB_norm,IMDB_norm_round,IMDB_user_vote_count
Avengers: Age of Ultron (2015),7.8,3.9,4.0,271107
Cinderella (2015),7.1,3.55,3.5,65709
Ant-Man (2015),7.8,3.9,4.0,103660
Do You Believe? (2015),5.4,2.7,2.5,3136
Hot Tub Time Machine 2 (2015),5.1,2.55,2.5,19560
The Water Diviner (2015),7.2,3.6,3.5,39373
Irrational Man (2015),6.9,3.45,3.5,2680
Top Five (2014),6.5,3.25,3.5,16876
Shaun the Sheep Movie (2015),7.4,3.7,3.5,12227
Love & Mercy (2015),7.8,3.9,4.0,5367
Far From The Madding Crowd (2015),7.2,3.6,3.5,12129
Black Sea (2015),6.4,3.2,3.0,16547
Leviathan (2014),7.7,3.85,4.0,22521
Unbroken (2014),7.2,3.6,3.5,77518
The Imitation Game (2014),8.1,4.05,4.0,334164
Taken 3 (2015),6.1,3.05,3.0,104235
Ted 2 (2015),6.6,3.3,3.5,49102
Southpaw (2015),7.8,3.9,4.0,23561
Night at the Museum: Secret of the Tomb (2014),6.3,3.15,3.0,50291
Pixels (2015),5.6,2.8,3.0,19521
"McFarland, USA (2015)",7.5,3.75,4.0,13769
Insidious: Chapter 3 (2015),6.3,3.15,3.0,25134
The Man From U.N.C.L.E. (2015),7.6,3.8,4.0,22104
Run All Night (2015),6.6,3.3,3.5,50438
Trainwreck (2015),6.7,3.35,3.5,27380
Selma (2014),7.5,3.75,4.0,45344
Ex Machina (2015),7.7,3.85,4.0,154499
Still Alice (2015),7.5,3.75,4.0,57123
Wild Tales (2014),8.2,4.1,4.0,50285
The End of the Tour (2015),7.9,3.95,4.0,1320
Red Army (2015),7.7,3.85,4.0,2275
When Marnie Was There (2015),7.8,3.9,4.0,4160
The Hunting Ground (2015),7.5,3.75,4.0,1196
The Boy Next Door (2015),4.6,2.3,2.5,19658
Aloha (2015),5.5,2.75,3.0,12255
The Loft (2015),6.3,3.15,3.0,21319
5 Flights Up (2015),6.1,3.05,3.0,2174
Welcome to Me (2015),5.9,2.95,3.0,8301
Saint Laurent (2015),6.3,3.15,3.0,2196
Maps to the Stars (2015),6.3,3.15,3.0,22440
I'll See You In My Dreams (2015),6.9,3.45,3.5,1151
Timbuktu (2015),7.2,3.6,3.5,6246
About Elly (2015),8.2,4.1,4.0,20659
The Diary of a Teenage Girl (2015),7.0,3.5,3.5,1107
Kingsman: The Secret Service (2015),7.8,3.9,4.0,272204
Tomorrowland (2015),6.6,3.3,3.5,42937
The Divergent Series: Insurgent (2015),6.4,3.2,3.0,89618
Annie (2014),5.2,2.6,2.5,19222
Fantastic Four (2015),4.0,2.0,2.0,39838
Terminator Genisys (2015),6.9,3.45,3.5,85585
Pitch Perfect 2 (2015),6.7,3.35,3.5,56333
Entourage (2015),7.1,3.55,3.5,21914
The Age of Adaline (2015),7.3,3.65,3.5,45510
Hot Pursuit (2015),4.9,2.45,2.5,17061
The DUFF (2015),6.6,3.3,3.5,33594
Black or White (2015),6.6,3.3,3.5,4857
Project Almanac (2015),6.4,3.2,3.0,40057
Ricki and the Flash (2015),6.2,3.1,3.0,1769
Seventh Son (2015),5.5,2.75,3.0,41177
Mortdecai (2015),5.5,2.75,3.0,31878
Unfinished Business (2015),5.4,2.7,2.5,14346
American Ultra (2015),6.5,3.25,3.5,3017
True Story (2015),6.3,3.15,3.0,16069
Child 44 (2015),6.4,3.2,3.0,19220
Dark Places (2015),6.3,3.15,3.0,9856
Birdman (2014),7.9,3.95,4.0,303505
The Gift (2015),7.6,3.8,4.0,10891
Unfriended (2015),5.9,2.95,3.0,22348
Monkey Kingdom (2015),7.3,3.65,3.5,883
Mr. Turner (2014),6.9,3.45,3.5,13296
Seymour: An Introduction (2015),7.7,3.85,4.0,243
The Wrecking Crew (2015),7.8,3.9,4.0,732
American Sniper (2015),7.4,3.7,3.5,251856
Furious 7 (2015),7.4,3.7,3.5,207211
